	0	1
0	    70181.07	      571.60
1	    79545.25	      527.97
2	     5796.05	    20486.48
3	     8239.55	    10069.80
4	    86888.04	     7211.27
5	    60645.48	     5092.15
6	     6318.99	    23734.37
7	    15491.76	    12375.79
8	    60137.17	     4395.16
9	     1612.05	    23093.72
10	    49582.35	     7640.32
11	     2525.96	     6924.59
12	    66002.88	      645.41
13	        0.00	    36299.81
14	     9225.14	     2460.77
15	        0.00	    33858.79
16	    28590.30	     4355.68
17	    37613.60	    12466.46
18	      185.31	    18157.75
19	     2605.91	    27145.31
20	    25718.96	     7464.06
21	     1864.28	     6925.12
22	   159956.94	      397.36
23	    26836.07	     6598.94
24	    11517.74	    16041.68
25	     1284.71	    10056.67
26	        0.00	    34527.02
27	    19367.93	     5042.36
28	    11709.90	     2015.79
29	   215812.13	      729.14
30	    13231.64	    16904.81
31	    41562.98	     7633.49
32	    60813.73	     1415.18
33	        0.00	    25131.86
34	        0.00	    22840.82
35	    13584.04	    17777.65
36	    24692.59	     1484.65
37	        0.08	    44295.63
38	        0.00	    27286.79
39	      326.59	    18735.20
40	    51732.01	     6940.83
41	    11709.24	     9322.62
42	    17261.45	    14865.22
43	    14510.27	    19450.02
44	    49259.41	     6296.80
45	    84815.97	     6896.75
46	    80090.54	     4725.70
47	    18083.82	    17280.93
48	    44275.74	     8443.97
49	   170256.24	      604.62
50	    76819.86	     8851.67
51	        1.59	    26688.69
52	    16434.08	    14756.79
53	      422.19	    31986.25
54	      156.32	    24825.14
55	    69664.20	     5503.37
56	     4699.58	    15565.53
57	     4826.73	    10787.55
58	     6578.52	     1632.03
59	    51668.68	     1955.95
60	        0.00	    29916.66
61	      390.12	    24354.24
62	        0.00	    22040.12
63	    49037.33	     8093.78
64	    92223.47	     7586.76
65	    10077.40	    19247.37
66	    15432.21	     8208.87
67	   131881.50	       31.67
68	      104.06	    30457.05
69	     6480.25	    14139.56
70	        0.00	    33374.41
71	     8392.53	    19309.19
72	    86872.21	     1211.52
73	        0.00	    39043.90
74	    19771.43	    17324.43
75	    10677.32	    15466.59
76	    14158.15	    16577.86
77	   103177.68	     2888.90
78	     1702.83	    15142.86
79	    15056.65	     3719.82
80	      785.15	    23005.95
81	   104253.82	     4507.39
82	    18798.84	    12788.59
83	    15253.92	    21204.00
84	    48372.56	     1575.98
85	    28810.35	     9631.56
86	        0.00	    40098.10
87	       87.92	    43728.84
88	    74507.43	     1350.34
89	        0.00	    41433.98
90	     3794.55	    10966.05
91	    26939.55	    13189.07
92	     3019.68	    25141.12
93	    85131.21	     1312.78
94	    93691.91	     4924.23
95	        0.00	    38984.35
96	      256.26	    33338.78
97	      101.44	    42875.47
98	      845.39	    14275.91
99	    10556.65	    18999.67
100	    91883.51	     5905.35
101	    54590.80	     3192.23
102	    17805.57	     1205.42
103	    12342.38	     7476.52
104	       36.85	    27795.57
105	    60760.15	     5229.82
106	   106638.45	     3378.24
107	     4145.66	    29443.11
108	    44555.35	     2394.01
109	    61884.99	     9356.14
110	    28416.74	     2431.06
111	       26.18	    12133.65
112	    28551.12	    13954.97
113	    47378.11	     3636.15
114	   120020.24	     1512.86
115	    63384.50	     8905.51
116	    53077.62	     6135.27
117	    83394.44	     6488.16
118	     8056.52	     7821.13
119	    11574.32	    11010.41
120	    80292.24	      266.91
121	        0.00	    31202.94
122	      137.24	    12209.11
123	    15318.26	    14412.29
124	       37.65	    23103.34
125	    84338.68	     7020.78
126	    14043.11	    21307.96
127	     8592.79	    12174.88
128	    17955.07	    15112.84
129	      756.45	    28574.95
130	   101640.15	        2.49
131	    44567.74	     5827.42
132	    48040.06	     3232.51
133	        5.12	    39804.99
134	    14250.15	    18306.63
135	    60165.52	     5079.17
136	       88.33	    20021.84
137	     2869.61	    15894.09
138	   166404.34	      367.91
139	    73609.74	     7761.33
140	    32561.58	     9440.11
141	    17124.65	    16872.59
142	    48562.71	     5095.48
143	    59327.61	      843.96
144	    28442.84	     7935.04
145	        0.53	    29093.78
146	    53518.30	    11024.54
147	    45840.67	    21223.91
148	    47994.97	     8109.62
149	      254.17	    16148.30
150	     4030.95	    11533.87
151	    46739.40	     4918.42
152	     5750.91	    20696.43
153	    18156.60	    12940.32
154	    91071.50	      872.23
155	    16954.86	    12610.77
156	    42364.80	     7666.35
157	       43.90	    22573.66
158	        0.00	    41502.16
159	    54321.72	     8564.28
160	     9486.96	    13908.84
161	    26425.94	     9547.63
162	    16029.37	    17823.04
163	    36682.27	     9546.33
164	       70.73	    42859.34
165	     4729.71	    14758.73
166	    34071.79	     8518.08
167	        0.10	    22027.17
168	    58334.45	     7757.93
169	    18164.58	     6138.70
170	    74864.17	     4929.84
171	        2.93	    27398.53
172	    35284.34	     4997.15
173	      166.89	    23566.33
174	    69345.09	     1471.08
175	    38971.09	    13821.95
176	    49026.90	    10882.07
177	        0.00	    33369.14
178	        0.00	    32856.59
179	       92.60	    20717.93
180	    12439.64	    17924.97
181	      730.49	    22413.63
182	    40858.43	     7320.79
183	    16997.74	     1287.75
184	    52004.32	     2827.72
185	    26775.62	     5157.37
186	       78.06	    20086.99
187	    23675.88	     4773.36
188	    61287.23	     4616.30
189	    37806.78	     6532.69
190	    38362.13	     9531.80
191	     9361.40	    10641.30
192	    64549.65	     8511.85
193	    47626.58	     8916.68
194	     7818.67	     5273.16
195	    56592.12	     7110.11
196	   112778.97	     5694.08
197	    11164.04	     6453.64
198	        0.04	    31787.55
199	   157399.00	      844.26
200	    24390.39	    17228.56
201	       86.69	    20465.03
202	    14590.41	    17627.50
203	        1.56	    17781.71
204	    16891.70	    12983.08
205	    12602.57	    10105.35
206	     3089.89	    27077.98
207	        0.00	    44147.86
208	        1.55	    33751.62
209	    35943.60	     9575.81
210	    72120.54	     4432.32
211	      373.18	    42867.70
212	    10523.80	     9883.85
213	    51822.82	     6919.17
214	     3756.31	     9450.05
215	    63659.68	     1840.64
216	    11957.65	    19293.95
217	    11069.95	    15938.62
218	        1.88	    27313.14
219	    30826.81	     3600.60
220	    41668.25	     9439.14
221	    33812.43	     8206.18
222	    41452.68	     8515.12
223	    16940.88	    11753.26
224	    11394.15	    16697.02
225	    36309.28	    10133.11
226	    34127.69	     7730.45
227	    57739.49	     4808.85
228	     9731.10	    18169.33
229	    12466.25	    16175.89
230	    61967.07	     9487.31
231	        0.00	    39964.24
232	        5.59	    49235.46
233	      132.46	    21021.75
234	        0.01	    26665.01
235	    67011.54	     7835.14
236	      174.80	    23177.77
237	    17563.35	    16471.78
238	     8671.08	    11773.82
239	    31756.77	    11431.21
240	    24436.88	     7466.62
241	    37502.50	    10287.56
242	    40513.11	     6450.39
243	        0.00	    33985.79
244	    52335.96	     3015.91
245	    14071.42	     8445.14
246	    44147.15	     5680.95
247	    18579.07	     9641.88
248	        0.00	    54007.54
249	    27088.38	    15889.62
250	    60412.87	     8325.82
251	    35541.04	     9673.97
252	    50757.62	     6878.91
253	    13280.76	     7259.89
254	      182.00	    39751.85
255	     8230.45	    20552.28
256	   143758.55	     1830.42
257	    39911.23	     6447.60
258	    43843.40	     9452.20
259	    30553.64	     7378.20
260	    68122.68	     5083.32
261	   115636.64	     3474.56
262	    48014.02	     2641.21
263	    91801.42	     6740.55
264	     1322.25	    16687.68
265	    47011.75	     6575.06
266	    32925.32	    10578.03
267	    22121.23	    12393.65
268	   120716.66	     4344.61
269	        0.00	    30106.05
270	    47158.25	     6852.01
271	    22742.03	    14731.59
272	        0.00	    38926.75
273	    98186.93	     3217.71
274	    14024.06	    15974.80
275	    44531.08	     8954.05
276	        0.00	    43376.64
277	    69051.56	     2149.21
278	    60569.69	      576.86
279	    58610.90	     6010.54
280	      577.19	    13917.81
281	    10396.73	     8739.70
282	     1437.95	    15721.74
283	        0.00	    28203.14
284	    76214.87	     1456.03
285	    45299.45	     9133.67
286	   165882.05	      696.08
287	        1.63	    25379.90
288	    67283.32	     5400.58
289	    64122.26	     4277.96
290	    75004.67	     1069.84
291	        0.00	    46003.62
292	    66228.47	     4324.81
293	     6428.83	    12474.92
294	    52422.11	     2562.82
295	     6210.73	    18430.67
296	        0.00	    18643.02
297	      370.26	    13094.06
298	    50360.02	     4930.96
299	        0.00	    37173.33
300	    53852.03	    11818.55
301	    27439.68	    11664.01
302	    11354.17	     5322.05
303	    42688.98	    11061.13
304	    33732.78	    12573.56
305	    55068.75	     7745.54
306	     3493.29	    29274.54
307	   160117.03	      260.65
308	        0.00	    44650.26
309	    78587.61	     7083.32
310	    59899.87	     1980.22
311	    10508.42	     6590.82
312	    13994.07	    20582.79
313	   125673.45	      294.66
314	    57040.72	     7356.39
315	    51847.47	     8724.26
316	    24165.24	    14823.64
317	      167.03	    17139.61
318	     9239.20	    10714.74
319	     4407.06	    16338.56
320	    92931.23	      281.45
321	    56666.53	     7057.57
322	    62619.09	     1633.51
323	    83682.32	      256.99
324	        0.02	    30258.16
325	    29488.27	     4398.66
326	    24780.77	    12312.10
327	        0.00	    37101.78
328	    28166.63	     9220.41
329	    74125.55	     7573.82
330	      190.58	    18804.25
331	        0.00	    32942.43
332	     3630.57	     8805.37
333	    26367.83	    14263.71
334	        0.00	    48324.45
335	        0.00	    47429.84
336	    20189.69	    17132.49
337	    16465.17	     7460.44
338	    37455.54	    13005.48
339	      313.22	    20134.23
340	    84885.00	     6102.73
341	    54144.77	     4353.89
342	        0.00	    36786.78
343	        0.00	    25616.13
344	    78781.54	     1317.80
345	    70061.54	     3854.38
346	     8029.02	    25814.55
347	    43132.58	     7679.10
348	    28596.48	    15565.43
349	    33836.37	     6502.77
350	     6242.22	     8296.95
351	     4775.95	     8391.43
352	        0.00	    37800.11
353	     1399.97	    30891.13
354	     1190.31	    14245.62
355	      656.98	    14681.72
356	        0.37	    22911.13
357	    23141.46	    14823.62
358	    66644.37	     4281.62
359	    85733.70	     2868.13
360	        0.00	    38833.08
361	    57525.74	     1433.50
362	    88700.27	     5654.33
363	     7334.93	    25152.43
364	     2362.71	    24271.82
365	        0.00	    32879.83
366	     8293.14	     3327.99
367	    55461.08	     7989.60
368	        1.03	    26155.45
369	       96.64	    42891.38
370	    42641.58	     8165.88
371	       47.60	    35793.29
372	      121.79	    29960.88
373	   191781.53	     1624.17
374	     1052.89	    19262.77
375	    50391.34	     6362.52
376	        0.00	    38849.19
377	     2572.58	    16850.08
378	    20871.58	    16821.03
379	    42785.15	     6194.83
380	        0.64	    31534.41
381	     2996.70	    24950.73
382	    95476.13	     2618.28
383	    36287.41	     3634.18
384	        0.00	    44727.85
385	    90826.88	     4643.99
386	    69065.82	      207.07
387	        5.17	    34819.44
388	    42701.07	     5010.75
389	      374.58	    39185.31
390	     3668.79	     7564.10
391	    20900.56	     6069.76
392	     3906.55	     7830.68
393	     2264.10	    26596.47
394	    72287.01	     6739.34
395	    28392.57	    15343.30
396	        0.00	    37640.49
397	        0.00	    33437.84
398	     3926.62	     9466.36
399	    59548.66	     6655.87
400	     4402.42	    11117.26
401	     8479.37	     7553.08
402	   123132.47	      405.56
403	    40216.11	     7288.21
404	    32668.97	     6704.01
405	        0.00	    44172.63
406	    52050.08	     9862.94
407	    27715.56	      281.62
408	       98.10	    29511.52
409	    41133.43	     7862.51
410	     6867.98	    15108.59
411	    24418.71	    12438.94
412	    62434.01	     8476.37
413	        0.00	    39792.70
414	        0.00	    18069.94
415	   103707.96	      448.12
416	      769.49	    30122.32
417	    50847.53	    12416.20
418	     1756.51	     8502.78
419	      109.67	    21845.84
420	    13336.07	    19847.20
421	     5225.93	     4444.98
422	      857.63	    34118.13
423	      159.17	    27883.77
424	    36882.45	     7755.47
425	    23577.80	      416.46
426	    59427.27	     4939.23
427	        0.00	    35786.92
428	    52521.87	     4884.55
429	    26515.38	    11589.83
430	   166250.09	      936.08
431	    32240.10	     9427.50
432	    65514.40	     4758.07
433	      806.21	    10214.53
434	    45004.14	     7582.71
435	     2464.43	    16315.15
436	    78455.96	     1293.44
437	    14009.36	    16395.99
438	     4957.45	    10538.43
439	     8328.77	    23005.04
440	    33462.20	    13938.87
441	    77358.42	      630.46
442	    11816.89	    15272.81
443	    37738.34	     9447.99
444	    98882.38	     3683.26
445	    28711.11	     4209.51
446	    34314.29	    13444.40
447	      104.81	    12629.27
448	    72279.09	     4435.41
449	    69518.57	     3736.43
450	    22727.93	     5040.77
451	    21890.62	    12798.32
452	    85797.33	     4857.70
453	    66202.12	     8576.22
454	    59626.59	     6236.62
455	        0.00	    29038.27
456	    23857.83	    10577.01
457	    50512.68	     7979.60
458	    52312.04	     2422.45
459	    59638.56	     6242.07
460	    58945.59	     4675.74
461	    34523.17	     8790.82
462	       21.09	    32621.35
463	    55833.38	     4866.03
464	        0.00	    41339.16
465	    62668.74	     2216.59
466	   117306.57	      260.96
467	    56063.88	     6376.55
468	        0.00	    39416.82
469	    34998.04	     9728.57
470	    44792.62	     3016.72
471	   129831.33	     4253.88
472	   170046.13	      873.77
473	        0.00	    36454.30
474	     2939.21	     9931.65
475	     9221.77	    21783.32
476	    59015.35	     6395.11
477	    10101.54	    18160.85
478	    20368.91	     5606.68
479	    20270.19	      935.65
480	     6676.09	    23113.07
481	     6342.04	    18775.64
482	    65792.01	     6166.46
483	        1.49	    21358.02
484	     3998.94	    25859.27
485	    41116.19	     6761.33
486	    64073.60	     8666.67
487	     8233.39	     9118.60
488	    31868.66	     4097.15
489	    34987.45	     9698.03
490	   159321.27	     3366.52
491	    22532.77	    13379.82
492	    96500.92	      434.75
493	    33572.39	     2538.19
494	        0.00	    31072.49
495	     7527.30	     5708.08
496	     6049.60	     6897.03
497	     1793.43	     8746.17
498	      837.39	    26692.32
499	        0.00	    49142.58
500	    32281.13	     7716.94
501	     2821.72	     7711.49
502	     3443.68	    22809.61
503	     1091.58	    41188.71
504	     5279.92	    32163.42
505	    29050.86	    14091.37
506	   127569.30	      266.95
507	        0.99	    38471.76
508	        0.00	    27945.60
509	    16788.48	    14306.94
510	     4622.86	     6632.61
511	    74370.93	     5800.55
512	    38553.78	      817.62
513	    25937.71	     9485.14
514	   100444.35	     5943.36
515	    12516.84	     4127.52
516	    12867.99	    19893.97
517	   166761.39	     1116.53
518	     8938.68	     8345.96
519	       33.51	    33319.47
520	    43075.61	     2074.48
521	     3406.34	    12165.42
522	    78327.15	     5210.63
523	    13088.25	    18967.20
524	     8859.12	     1914.54
525	     7198.14	    21032.27
526	    48871.85	    10153.63
527	    31927.87	    12440.21
528	    26128.63	     3011.92
529	    24415.54	    13252.81
530	    55790.29	     4095.21
531	     2304.88	    27289.53
532	       31.31	    16660.58
533	    14000.32	    18285.38
534	    71043.93	     4903.48
535	      150.06	    13881.58
536	       68.64	    35260.95
537	        0.00	    38464.67
538	    33036.53	    10239.84
539	       33.30	    48263.37
540	        0.00	    39098.57
541	    48329.27	     1667.89
542	    91044.78	     6286.64
543	    82855.77	     1639.65
544	    33234.48	     4259.05
545	      349.74	    30903.73
546	     5239.66	    23073.72
547	       38.41	    30916.55
548	    43068.44	    11306.16
549	    45504.23	     8002.53
550	     1281.61	    26200.50
551	       85.02	    17217.15
552	     1786.46	    27941.24
553	    97603.98	     5842.98
554	        0.00	    35986.05
555	    33925.43	    12231.40
556	    61638.52	     5821.47
557	    51426.83	     9374.22
558	     5853.23	    16328.89
559	        0.00	    42308.46
560	    16569.91	     1755.03
561	    36401.26	     8890.50
562	   247446.55	      143.58
563	        0.00	    48584.32
564	    34607.90	     8390.12
565	    63244.48	     2389.40
566	    15894.79	    18843.18
567	    86349.99	     1418.68
568	    12836.77	    16868.87
569	    56417.74	     6241.32
570	    30247.57	     7210.94
571	   116708.30	     5219.01
572	    11329.30	    22032.16
573	    10709.83	    21959.49
574	     3449.39	    32806.20
575	    22751.84	     1693.61
576	     1231.32	     9114.79
577	    13257.48	    20020.82
578	      526.53	    39000.60
579	    36843.93	    11689.11
580	    77977.14	     2453.08
581	    38775.13	     9971.52
582	     7154.06	    21164.79
583	    13241.04	     7830.50
584	     6932.99	    18915.09
585	    50067.73	     8369.56
586	     7288.36	    19769.37
587	    79207.94	     6650.67
588	     9900.58	    22080.32
589	       32.52	    17101.07
590	    79652.88	     4942.72
591	    19595.52	    12047.83
592	    54409.36	     5297.81
593	      767.94	     8456.83
594	    82017.49	      491.95
595	        0.00	    49873.68
596	   102336.62	      327.94
597	    33868.91	     7928.84
598	    33173.86	    12080.45
599	    25167.93	     1912.74
600	    10634.27	    22479.13
601	    14442.53	    16063.26
602	        0.00	    23639.03
603	     1679.61	    13110.35
604	    57723.92	     7964.21
605	   109194.15	     4139.86
606	        0.00	    21645.53
607	    20597.26	    12105.84
608	    45142.27	     5475.41
609	     5706.94	    23663.76
610	     8815.87	     4750.11
611	    10543.96	    18736.59
612	    40084.75	    11483.60
613	    69020.55	     6334.07
614	    57050.90	     4885.78
615	    50324.91	     1058.38
616	    36421.30	     7586.53
617	     8078.61	     3531.34
618	    38906.80	    10550.80
619	     5546.90	     9090.44
620	    28599.57	    15905.12
621	    27393.90	    13229.04
622	        5.30	    28779.22
623	    53441.84	     8407.83
624	     2321.67	     5616.52
625	    55942.00	     7778.17
626	    11542.22	    12154.03
627	   142141.69	     2118.80
628	    30895.90	     5687.13
629	    56533.12	     5610.39
630	      939.82	     8895.93
631	    17818.00	     8139.04
632	    46198.50	     4326.32
633	        0.23	    25367.58
634	        0.00	    36158.94
635	        0.00	    27930.37
636	    34032.52	      689.81
637	     3778.44	    26964.88
638	     2443.70	     9154.08
639	    16890.73	     8201.66
640	    41311.71	    12091.45
641	    31716.69	     7995.67
642	    88045.15	     4156.23
643	     3879.47	    21357.15
644	        0.00	    45965.07
645	    51534.30	     6162.61
646	    72963.96	     7510.97
647	        3.51	    30744.20
648	      479.97	    20082.17
649	    23640.69	    14095.95
650	    44097.49	     1452.55
651	    52543.52	     6707.15
652	        0.00	    21176.86
653	        0.00	    52590.90
654	    42177.58	     9050.03
655	     6051.87	    12774.57
656	   107417.15	       39.98
657	    21270.06	    15604.33
658	    85911.65	     5946.37
659	     1075.64	    25597.89
660	    31283.60	     9301.30
661	    26395.48	     4068.28
662	     9736.55	    20185.53
663	    65943.36	      542.95
664	   160580.51	     1001.86
665	    33532.53	     3269.23
666	    17313.00	     2209.35
667	    86889.15	     5518.14
668	      651.74	    13111.27
669	    26226.67	     7554.57
670	    76607.11	     6829.27
671	    58079.56	     4758.00
672	   150712.23	     2229.15
673	   175589.96	     1753.29
674	    66342.19	     5403.33
675	    35512.03	    11021.75
676	    61287.56	     6312.68
677	      281.71	     9631.90
678	    18819.00	    14114.87
679	    87876.45	     4526.00
680	    51917.22	    10259.07
681	    91209.21	     5168.30
682	       12.58	    45466.38
683	       38.97	    33670.72
684	   117531.74	     2582.65
685	    51804.27	     2123.88
686	        2.86	    37776.12
687	      261.58	    34407.90
688	    38218.73	     7796.30
689	    32503.43	    15832.47
690	    34754.91	     5649.57
691	   134168.13	     1344.83
692	    19958.46	     1309.07
693	    34362.32	    11857.41
694	    57940.26	      324.13
695	      668.96	    13668.03
696	    20419.40	     7585.84
697	    14005.49	    12684.33
698	    25450.97	    15633.63
699	    50538.49	     9285.27
700	     5451.93	    14640.63
701	     5681.61	    13087.60
702	    63751.37	     3904.41
703	    53457.92	     7812.63
704	    35252.19	     3236.54
705	    26256.84	    10324.20
706	    51371.92	    10512.50
707	    38406.56	    12391.14
708	    61778.51	      658.61
709	    74964.14	     7010.92
710	     6778.37	    15257.04
711	   109117.20	      639.56
712	    55077.55	     6552.69
713	    90585.57	     1095.34
714	        0.00	    33788.89
715	     3843.56	    11118.87
716	    33574.84	     7218.31
717	    57984.30	     2999.95
718	    10604.21	     4411.12
719	     7355.30	    10002.40
720	    86198.79	     4077.85
721	    57698.74	     5937.14
722	    14827.02	    14071.72
723	      154.18	    34298.32
724	    55846.47	     5129.94
725	     6354.43	    22230.44
726	    18114.41	     3783.65
727	        0.00	    39911.98
728	    53687.65	     6254.88
729	       42.30	    36955.46
730	      209.90	    22046.76
731	    70226.65	     5217.79
732	    95725.61	     4403.32
733	     1986.20	    23069.23
734	     3208.51	    31464.63
735	    20489.71	    14714.05
736	    16405.64	    21601.94
737	     2998.60	    25056.58
738	    70467.10	     1942.18
739	    15719.33	    14118.40
740	    36009.92	     2346.73
741	       62.29	    15684.47
742	        0.00	    33584.69
743	    32815.29	    10587.10
744	     3521.08	     7485.32
745	   102398.57	     2576.00
746	        0.00	    51934.01
747	    81214.35	     4911.86
748	    92796.38	      439.20
749	    44289.51	     6444.71
750	      121.00	    11417.90
751	        0.00	    34113.66
752	    62604.06	     5144.60
753	    77632.84	     7687.39
754	        0.21	    24809.34
755	    25350.83	     1473.03
756	     3226.80	     9861.64
757	    21718.82	    13364.86
758	    85040.95	     6221.05
759	    31888.37	    10137.05
760	     6706.66	    19762.16
761	       29.61	    25057.04
762	        0.00	    46592.07
763	        5.90	    26473.53
764	   123829.75	     2918.33
765	    20946.46	    13916.51
766	        8.95	    16944.26
767	    86217.51	     3511.26
768	        0.00	    34510.92
769	    27048.84	    11257.02
770	     2345.75	    23602.97
771	    74820.90	     7704.33
772	    88622.11	     5368.50
773	    84087.91	     6433.76
774	        1.13	    25268.56
775	     9542.56	    23516.36
776	    21453.96	     6791.92
